Platform,Name,Stars,Forks,Open Issues,Created At,Updated At,Size,Language
Gitea,ziqiangxu.github.io,0,0,0,2020-06-21T09:01:33Z,2020-06-21T09:01:58Z,454,HTML
Gitea,sentry-demo,0,0,0,2020-06-23T09:58:24Z,2020-06-23T10:36:54Z,27,Go
Gitea,tam-manager,0,0,0,2020-06-23T14:23:10Z,2020-06-23T14:32:49Z,37,Python
Gitea,note-book,0,0,0,2020-06-24T13:06:16Z,2020-06-28T06:30:43Z,322,Markdown
Gitea,xorm,0,0,0,2020-06-29T03:09:39Z,2020-06-29T03:12:42Z,16954,Go
Gitea,xorm,0,0,0,2020-06-29T07:38:51Z,2020-06-29T07:41:32Z,16956,Go
Gitea,maidendrop,1,0,0,2020-06-29T07:54:29Z,2020-08-21T10:16:08Z,9340,PHP
Gitea,goftp-server,0,0,0,2020-06-29T09:51:44Z,2023-02-24T15:48:49Z,1154,Go
Gitea,xorm,0,0,0,2020-06-30T11:08:41Z,2020-12-01T03:29:56Z,17161,Go
Gitea,xorm,0,0,0,2020-06-30T13:35:40Z,2020-06-30T13:35:50Z,16956,Go
Gitea,goly,0,0,0,2020-07-01T02:46:56Z,2021-02-20T02:55:00Z,165,Go
Gitea,FilePool,0,0,0,2020-07-01T03:31:56Z,2020-07-06T11:33:18Z,33,TeX
Codeberg,Community,264,11,319,2018-06-29T10:48:58Z,2024-12-03T04:08:55Z,46,
Codeberg,relativitetsanteckningar,1,0,0,2018-07-22T00:27:34Z,2024-12-03T04:08:59Z,531,TeX
Codeberg,wordpress-another-simple-image-optimizer,0,0,0,2023-03-17T11:36:35Z,2024-12-03T04:34:19Z,679,PHP
Codeberg,ignitron,0,0,0,2020-10-27T11:37:17Z,2024-12-03T04:12:12Z,1034,Kotlin
Codeberg,dotfiles,1,0,0,2020-10-27T12:32:09Z,2024-12-03T04:12:12Z,5487,Shell
Codeberg,raxml-ng,0,0,0,2020-10-27T12:35:06Z,2024-12-03T04:12:12Z,1355,C++
Codeberg,QCard,15,1,3,2020-10-27T12:43:08Z,2024-12-03T04:12:12Z,1528,JavaScript
Codeberg,eleven,0,0,0,2023-03-17T14:17:06Z,2024-12-03T04:34:19Z,28,C
Codeberg,raxml-ng-2,0,0,23,2020-10-27T12:53:09Z,2024-12-03T04:12:12Z,2534,C++
